Card ID,Created By,Space Posted in,Date of Card Posting,Time of Card Posting,Card Type,Card Title,Card Description,Card Body,Total Reach,Number of Views,Number of Likes,Number of Shares(Inside App),Number of Shares(Outside App),Number of Comments,Number of Upvotes on Comments,Number of Saves,Number of Reports,Option A(Poll Cards Only),Option B(Poll Cards Only),Option C(Poll Cards Only),Mission Date,Mission  Time,Mission  Format,Mission Link,Mission Link Clicks,Length of Video (seconds),Watch Time for Video Cards
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506,Koustubh Kulkarni,Campus Spaces,23-10-2021,18:19:52,image,KNEBQUGKIRFZPLJ,,"<blockquote><b>Did we just launch? 🔖</b></blockquote><p><br></p><h3>TALK OF THE TOWN IS FINALLY OUT IN OPEN! 🗞🗞</h3><p><br></p><p>We have 3 Space Warriors who became the first set of students to launch their space on the Under 25 App.</p><p><br></p><p><b><i>23.10.21 is going down in history&nbsp;</i></b>📜</p><p><img src=""https://under25app.s3.amazonaws.com/images/2021-10-23_181311.max-1440x900.jpg"" data-filename="""" style=""width: 352.19px;""><br><br></p><h4>Pannagasri G | Under 25 BMSCW</h4><p><br></p><p><img src=""https://under25app.s3.amazonaws.com/images/2021-10-23_181108.max-1440x900.png"" data-filename="""" style=""width: 352.19px;""><br><br></p><p>She is the <b>first SW to launch her space offline!</b> BMSCW is a girls college &amp; Pannagasri is all set to amplify student voices from her campus! ☄️&nbsp;</p><p><br></p><h4>&nbsp;Vanishree Kulkarni | Under 25 CIT</h4><p><br></p><p><img src=""https://under25app.s3.amazonaws.com/images/2021-10-23_181123.max-1440x900.png"" data-filename="""" style=""width: 352.19px;""><br><br></p><p>With one of the most detailed Space boards, Vanishree is on her way to take over her campus. Also if you have any&nbsp;<b>Halloween theme ideas</b>&nbsp;feel free to drop your suggestions as this week she is going to launch her space offline 🤭</p><p><br></p><h4>&nbsp;Philip Sunny | Under 25 KCMT</h4><p><br></p><p><img src=""https://under25app.s3.amazonaws.com/images/2021-10-23_181134.max-1440x900.png"" data-filename="""" style=""width: 352.19px;""><br><br><br></p><p>One of the first ones to get on the mentorship calls &amp; this boy is known for getting his&nbsp;<b>MoU signed Under 5 hours!&nbsp;</b>That's crazy, isn't it? Well, he's just getting started &amp; fun fact: his management was so impressed by his passion to build this community that they've allotted a room for him &amp; his team to conduct all operations for Under 25 KCMT ☀️</p><p><br></p><h4><i>Drop-in some love for them in the comments section warriors ♥</i></h4><p><br></p><p><br><br><br></p><br><br><br><br>",REACH NOW ADDED,126,19,0,OUTSIDE SHARE COUNTER NOW ADDED,14,37,1,0,,,,,,,,TO BE ADDED,,TO BE ADDED
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1534,Koustubh Kulkarni,Campus Spaces,25-10-2021,16:25:05,vertical,Still stuck with your first 6 cards?🚧,Here are a few examples that will help you sail through your first 6 cards⛵,"<p>Step 1: Copy-Paste the Hygiene Check from the Play your cards workspace which is in your what's app group description ♻</p>
<blockquote>
<p><strong>Hygiene Check</strong>: The Format of writing your cards. <strong>✅ Article Card Hygiene Check</strong></p>
</blockquote>
<p><img src=""https://under25app.s3.amazonaws.com/images/2021-10-25_160945.max-1440x900.png"" alt="""" /></p>
<blockquote>
<p><strong>✅ Image Card</strong></p>
</blockquote>
<p><img src=""https://under25app.s3.amazonaws.com/images/2021-10-25_160957.max-1440x900.png"" alt="""" />
Step 2: Make Your Dashboard in the same notion link where you've made your SpaceBoard🔖
Examples🔰 <strong><em>Philip's Dashboard </em></strong> <img src=""https://under25app.s3.amazonaws.com/images/2021-10-25_161108.max-1440x900.png"" alt="""" />
<strong><em>Pannagasri's Dashboard </em></strong> <img src=""https://under25app.s3.amazonaws.com/images/2021-10-25_161126.max-1440x900.png"" alt="""" />
Step 3: Make the first 6 cards Grand! 🚨</p>
<blockquote>
<p><strong>First 6 cards Examples 🔰</strong></p>
</blockquote>
<p><img src=""https://under25app.s3.amazonaws.com/images/2021-10-25_161330.max-1440x900.png"" alt="""" /></p>
<p>Click here! <a href=""https://www.notion.so/Under-25-BMSCW-f4cec37d8b80496a856e5eabe71d72bd"">Under 25 BMSCW's First 6 Cards</a> <img src=""https://under25app.s3.amazonaws.com/images/2021-10-25_161421.max-1440x900.png"" alt="""" /></p>
<p>Click here! <a href=""https://under25kcmt.notion.site/c952c411cd4f4e368c63f77fcdebe636?v=37aaacfbdf3b4c08855e35e413ca56ca"">Under 25 KCMT's First 6 Cards</a> <img src=""https://under25app.s3.amazonaws.com/images/2021-10-25_161511.max-1440x900.png"" alt="""" /></p>
<p>Click here! <a href=""https://www.notion.so/8ae71985e9334e39b2e308e7abd4bf4d?v=db6abbc84395415ca764949c80950707"">Under 25 CIT's First 6 Cards</a></p>
<p>This week we are launching more spaces and if you are almost ready please go ahead &amp; block time with me by using the following link &amp; I shall help you out! ⛵
<a href=""https://calendly.com/koustubhk/space-board-review"">Mentorship Call Link</a>
All the best team🏁 I'm rooting for all of you❤</p>
<br><br><br><br>",REACH NOW ADDED,312,23,6,OUTSIDE SHARE COUNTER NOW ADDED,6,2,5,0,,,,,,,,TO BE ADDED,,TO BE ADDED
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1546,Koustubh Kulkarni,Campus Spaces,25-10-2021,20:09:46,image,JNFIHWZBBBKVLJW,,<h4>You might soon see some pages popping up &amp;</h4><h4>.</h4><h4>.</h4><p>.</p><p><br></p><h4>WE'VE BEGUNNN! ✅</h4><p><br></p><br><br><br><br>,REACH NOW ADDED,84,17,0,OUTSIDE SHARE COUNTER NOW ADDED,2,3,0,0,,,,,,,,TO BE ADDED,,TO BE ADDED
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1548,Koustubh Kulkarni,Campus Spaces,25-10-2021,20:32:35,vertical,Last Week Of Mentorship Calls?,The timer is ticking⏳,"<p>This is the last week of the communication month &amp; as we progress to the 5th Project of fellowship!</p><p> Here's where things are going to take an interesting turn.</p><h4>Month 5: Planning &amp; Execution 🎯</h4><p>This will be the<i><b> last week of the mentorship call</b></i> &amp; from next month onwards we'll work towards the execution🚤</p><p><br></p><h4>As community leaders, you all will recruit your shuttles &amp; bring your communities to live with the <u>first 100 members</u> that will join your space super soon.</h4><p><br></p><p>Until then all you need to know is that <b>this week is very important to get your space started</b>🚦</p><p><br></p><blockquote><p>📌 Block time with me as soon as possible &amp; aim at closing your soft launch with your first 6 cards.</p></blockquote><p><br></p><h4><a href=""https://calendly.com/koustubhk/space-board-review""><b>Click here to block time this week</b></a></h4><h4><a href=""https://calendly.com/koustubhk/space-board-review""><b><br></b></a></h4><h4>Let me know in the comments on what date would you like to launch your space! 📆</h4><br><br><br><br>",REACH NOW ADDED,104,15,0,OUTSIDE SHARE COUNTER NOW ADDED,0,0,0,0,,,,,,,,TO BE ADDED,,TO BE ADDED
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1575,Koustubh Kulkarni,Campus Spaces,26-10-2021,19:12:19,image,XEMZCURGIMLTNAO,,<p><h4>What would you say if got a chance to have a one on one meeting with the man himself? 🤔</h4><br></p><br><br><br><br>,REACH NOW ADDED,111,27,0,OUTSIDE SHARE COUNTER NOW ADDED,10,11,0,0,,,,,,,,TO BE ADDED,,TO BE ADDED
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665,Koustubh Kulkarni,Campus Spaces,28-10-2021,20:58:05,video,EBYZAKPBUMIIBGP,,"<p>When are you launching? Let me know in the comments section!</p>
<blockquote>
<p>Also, who do you think are the 5 space warriors launching next?🤔</p>
</blockquote>
<br><br><br><br>",REACH NOW ADDED,57,21,0,OUTSIDE SHARE COUNTER NOW ADDED,7,4,1,0,,,,,,,,TO BE ADDED,20,TO BE ADDED
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1666,Koustubh Kulkarni,Campus Spaces,28-10-2021,23:04:07,image,BQYCDTIIXXFYMOA,,"<h3>What do you all think I should order?</h3>
<blockquote>
<p>Drop-in some junk good suggestion in the comments 🍔</p>
</blockquote>
<br><br><br><br>",REACH NOW ADDED,59,20,0,OUTSIDE SHARE COUNTER NOW ADDED,11,1,0,0,,,,,,,,TO BE ADDED,,TO BE ADDED
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699,Koustubh Kulkarni,Campus Spaces,29-10-2021,19:25:57,image,DWHWMLOTRPFHQWM,,"<p>As all of you saw yesterday some new spaces are brewing🧂 &amp; here's the list of spaces that are going to be launched this week!🥎</p>
<h3>Spaces to be launched⛳</h3>
<blockquote>
<ol>
<li>Under 25 OPJGU: <strong>Trishna A Nair</strong></li>
<li>Under 25 SFC: <strong>Deeksha Chitturi &amp; Deeksha Deshpande</strong></li>
<li>Under 25 DYPIU: <strong>Akshita Nayak</strong></li>
<li>Under 25 MH: <strong>Bhagyalakshmi R K</strong></li>
<li>Under 25 STC: <strong>Meenakshi R layer &amp; Nicole Fegy</strong></li>
<li>Under 25 DSU: <strong>Ivan Reni Varghese</strong></li>
<li>Under 25 ANDC: <strong>Shruti</strong></li>
</ol>
</blockquote>
<h3>Congratulations to all of your team❤</h3>
<blockquote>
<p>Also for Warriors who are still hustling with their first 6 cards please refer to the cards in this space &amp; I've specifically made one on cracking your first 6 cards, that might help you all!</p>
</blockquote>
<br><br><br><br>",REACH NOW ADDED,103,18,0,OUTSIDE SHARE COUNTER NOW ADDED,13,21,0,0,,,,,,,,TO BE ADDED,,TO BE ADDED
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1715,Koustubh Kulkarni,Campus Spaces,30-10-2021,01:06:02,vertical,Lauching your space without a mentorship call?,Here's a step by step guide for you to understand how to launch your space!,"<p>As we close on mentorship calls this week there are still some space warriors <strong>who haven't yet got on a call</strong> with me &amp; space warriors <strong>who have only done their first cal</strong>l 🎛</p>
<h3>Here's a guide for you all to keep in mind to launch your space 🌌</h3>
<p><strong>Steps to launch your space🧠:</strong></p>
<ol>
<li>Space board review 🎚</li>
<li>First 6 cards approvals 🃏</li>
<li>Sign the social media policy &amp; send it back ✅</li>
</ol>
<blockquote>
<p>SMP: You will receive it <strong>via email once</strong> you've got your first 6 cards approved.</p>
</blockquote>
<p>Once you are done <strong>with all these 3 steps you will be added</strong> to your space on the app &amp; post which you'd get the branding kit 🧪</p>
<p><img src=""https://under25app.s3.amazonaws.com/images/2021-10-30_010320.max-1440x900.jpg"" alt="""" /></p>
<blockquote>
<p>Branding Kit: As Under 25 we have very high standards for design &amp; how a space would look aesthetically. For the same, we will share a design kit that will have all the logo's, pills, colours, templates, fonts, that you can use to maintain uniformity in your space.</p>
</blockquote>
<h3>How do I get my Space Board/First 6 cards reviewed &amp; approved now?📡</h3>
<p>Before that please make sure <strong>you've given edit access to your spaceboard</strong> before sending it across so that I can add comments.</p>
<p><img src=""https://under25app.s3.amazonaws.com/images/2021-10-30_010405.max-1440x900.jpg"" alt="""" /></p>
<blockquote>
<p><strong>Pick any one 🤳🏻</strong></p>
</blockquote>
<ol>
<li>Use the space chat to send me your notion link🔗</li>
<li>Email me your space board/ first 6 cards. (<strong>campusespace@under25.club, koustubh@under25.club</strong>)</li>
</ol>
<p>This is what <strong>Noah Sama, Space warrior at Under 25 ISME</strong> sent me today &amp; you all can follow the same format ✅</p>
<p><img src=""https://under25app.s3.amazonaws.com/images/2021-10-30_010359.max-1440x900.jpg"" alt="""" /></p>
<blockquote>
<p>P.S. Give me better 24-48 hours to get back to you with feedback</p>
</blockquote>
<p>Drop a comment here <strong>once you've sent me your cards</strong> for review 🏁</p>
<h3>If you have any more doubts regarding the launch hit me up in the comments 🤜🏼🤛🏼</h3>
<br><br><br><br>",REACH NOW ADDED,135,22,5,OUTSIDE SHARE COUNTER NOW ADDED,4,1,2,0,,,,,,,,TO BE ADDED,,TO BE ADDED
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1716,Koustubh Kulkarni,Campus Spaces,01-11-2021,17:05:54,image,QCNDQMMPNYCIKLW,,"<h3>One of the core reasons for their success was their understanding of their campus 👁👁</h3>
<p><img src=""https://under25app.s3.amazonaws.com/images/2021-10-30_010817.max-1440x900.jpg"" alt="""" /></p>
<blockquote>
<p>One of the things they did right was knowing what their audience will like &amp; what's the most sharable content🤳🏻</p>
</blockquote>
<p><img src=""https://under25app.s3.amazonaws.com/images/2021-10-30_010827.max-1440x900.jpg"" alt="""" />With over 810 posts they maintained consistency to make sure the audience keeps engaging with their content &amp; doesn't leave the space ♟</p>
<blockquote>
<p>These are some of my learning from the VIT Vellore case study🧩</p>
</blockquote>
<h3>Let me know what according to you is the most fun way to keep your audience hooked to your space?</h3>
<br><br><br><br>",REACH NOW ADDED,64,15,0,OUTSIDE SHARE COUNTER NOW ADDED,7,6,0,0,,,,,,,,TO BE ADDED,,TO BE ADDED
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1728,Koustubh Kulkarni,Campus Spaces,30-10-2021,11:46:55,image,VWHRBQHLIURTPLE,,"<h3>What's on your checklist?🏁🏁</h3>
<ol>
<li>Get your MoU signed?</li>
<li>⛳ Launch your space? 🚦</li>
<li>Build your space shuttle? 📣</li>
</ol>
<p>Or</p>
<blockquote>
<p>Have a 500+ member space? 👑</p>
</blockquote>
<h3>Let me know what's your 2022 checklist in the comments section🌻</h3>
<br><br><br><br>",REACH NOW ADDED,58,16,0,OUTSIDE SHARE COUNTER NOW ADDED,9,6,0,0,,,,,,,,TO BE ADDED,,TO BE ADDED
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758,Koustubh Kulkarni,Campus Spaces,30-10-2021,15:20:17,image,UUQFJUOPUCBEYIM,,"<h3>Under 25 CIT has officially begun!🎲</h3>
<blockquote>
<p>Vanishree Kulkarni | Space Warrior at Under 25 CIT</p>
</blockquote>
<p><img src=""https://under25app.s3.amazonaws.com/images/2021-10-30_151943.max-1440x900.png"" alt="""" />
<strong>She has some big plans &amp; has already found a rhythm in her college.</strong> Without even an offline launch or her shuttle, she has managed to land 66 followers📡</p>
<h3>She aims at 500 members on her space by the end of this year! 👑</h3>
<br><br><br><br>",REACH NOW ADDED,103,16,0,OUTSIDE SHARE COUNTER NOW ADDED,3,3,0,0,,,,,,,,TO BE ADDED,,TO BE ADDED
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759,Koustubh Kulkarni,Campus Spaces,30-10-2021,19:23:53,image,AKOKQSOOUFVNOKL,,"<h3>I've seen a lot of you all use multiple Under 25 Logos while making your first 6 cards.</h3>
<h3></h3>
<p><strong>Let's end the debate here &amp; now!</strong> What you are seeing down here are all the previous logo units which we use to use earlier.</p>
<blockquote>
<p>❌❌❌❌❌❌❌❌❌❌❌❌❌❌❌❌❌❌❌</p>
</blockquote>
<p><img src=""https://under25app.s3.amazonaws.com/images/2021-10-30_172329.max-1440x900.jpg"" alt="""" />Please don't use any of the above logos in any of your cards, Post or documents.</p>
<blockquote>
<p><strong>The only logo which you all should know from today is...</strong></p>
</blockquote>
<p>✅✅✅✅✅✅</p>
<h3>My dear fellows, this is the official Under 25 logo &amp; the only logo which all of you need from here on! <img src=""https://under25app.s3.amazonaws.com/images/2021-10-30_155047.max-1440x900.png"" alt="""" /></h3>
<p>The logo in between with the <strong>black box with curved edges</strong> is the official logo.</p>
<blockquote>
<p><strong>You will receive this logo in the branding kit once you sign the social media policy</strong></p>
</blockquote>
<h3>Comment ""GTKS"" if you felt this card helped you 🤜🏼🤛🏼</h3>
<br><br><br><br>",REACH NOW ADDED,114,17,0,OUTSIDE SHARE COUNTER NOW ADDED,8,16,0,0,,,,,,,,TO BE ADDED,,TO BE ADDED
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1798,Koustubh Kulkarni,Campus Spaces,03-11-2021,17:53:54,image,MFZFBYVOJDQHRCK,,"<h3>Under 25 BMS: Ex Space Warrior | Kanishka Reddy</h3>
<p><img src=""https://under25app.s3.amazonaws.com/images/2021-11-02_011051.max-1440x900.jpg"" alt="""" /></p>
<blockquote>
<p>Dear VTU was a hard hit, solely because we were vocal at the right time. It becomes vital for us to know everything our community is going through to build the strongest community out there. Keep it real simple and current, and things will work out <em><strong>says Kanishka</strong></em></p>
</blockquote>
<h1><img src=""https://under25app.s3.amazonaws.com/images/2021-10-30_200611.max-1440x900.jpg"" alt="""" /></h1>
<p><img src=""https://under25app.s3.amazonaws.com/images/2021-11-02_011827.max-1440x900.jpg"" alt="""" /></p>
<h3>52.9K SHARES GOD DAMM</h3>
<blockquote>
<p>Link to the video</p>
</blockquote>
<p><a href=""https://www.instagram.com/tv/CAP7CL1jHlk/?utm_medium=copy_link"">https://www.instagram.com/tv/CAP7CL1jHlk/?utm_medium=copy_link</a></p>
<blockquote>
<p>The page also gained over 500 followers overnight. <strong>This campaign acts as one of the best examples of Matter over medium.</strong></p>
</blockquote>
<h3></h3>
<h3>The message was so strong that even a simple video like this blew up!📢</h3>
<p>Let me know on comments which university are you from?🤭</p>
<br><br><br><br>",REACH NOW ADDED,59,19,1,OUTSIDE SHARE COUNTER NOW ADDED,6,11,0,0,,,,,,,,TO BE ADDED,,TO BE ADDED
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,Koustubh Kulkarni,Campus Spaces,30-10-2021,21:54:02,image,UTTDPZJGTNJTEZF,,"<h2>The news is out!</h2>
<p><img src=""https://under25app.s3.amazonaws.com/images/2021-10-30_215311.max-1440x900.png"" alt="""" /></p>
<h3>10 Campus Spaces have officially begun ✴</h3>
<p><img src=""https://under25app.s3.amazonaws.com/images/2021-10-30_215316.max-1440x900.png"" alt="""" />
<img src=""https://under25app.s3.amazonaws.com/images/2021-10-30_215326.max-1440x900.png"" alt="""" /></p>
<blockquote>
<p>Please note: All the Space warriors mentioned here have been <strong>added in a separate group with me &amp; the Student Matter team.</strong> Please acknowledge in the comments once you've been added ✅</p>
</blockquote>
<p>All the best team! Let's get the party started 🥳</p>
<p><img src=""https://under25app.s3.amazonaws.com/images/2021-10-30_215351.max-1440x900.png"" alt="""" /></p>
<br><br><br><br>",REACH NOW ADDED,100,18,0,OUTSIDE SHARE COUNTER NOW ADDED,8,6,1,0,,,,,,,,TO BE ADDED,,TO BE ADDED
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1801,Koustubh Kulkarni,Campus Spaces,31-10-2021,13:39:43,image,XQNXILLFKTQFIAD,,"<h3>If you are a space warrior who is still hustling it out with your management, I've got you.</h3>
<p>I know how bad it feels when everything you dream of doing as a space warrior at your campus comes at a standstill because of one signature📑 <img src=""https://under25app.s3.amazonaws.com/images/2021-10-31_132654.max-1440x900.jpg"" alt="""" /></p>
<h3>I had a very hard time getting my MoU signed. I use to see all my fellow space warriors doing <strong>Summit's, Insane campaigns, build their shuttle</strong> &amp; I couldn't even get one signature😦</h3>
<p><img src=""https://under25app.s3.amazonaws.com/images/2021-10-31_133152.max-1440x900.jpg"" alt="""" /></p>
<blockquote>
<p>The fact of the matter is that it's <strong>not your fault &amp; all you can do here is keep doing whatever it takes to get that signature♟</strong></p>
</blockquote>
<p>I have sulked so much at a time when <strong><em>I was in tears sitting outside my HODs office thinking that it's not gonna work out.</em></strong> I just wanted it THAT BADLY</p>
<blockquote>
<p>Then one day it happened. <strong>Like Anto said on one of the WHS's, that you don't know what's on the other side if you are just consistent!</strong></p>
</blockquote>
<p><img src=""https://under25app.s3.amazonaws.com/images/2021-10-31_133631.max-1440x900.jpg"" alt="""" /></p>
<h3>I got my MoU signed in September &amp; then BOOM 💣</h3>
<p><img src=""https://under25app.s3.amazonaws.com/images/2021-10-31_133659.max-1440x900.jpg"" alt="""" /></p>
<blockquote>
<p>Oct 2019 MIT WPU was announced as the Fastest growing page &amp; The most Impactful campus of the month🤯</p>
</blockquote>
<p><img src=""https://under25app.s3.amazonaws.com/images/2021-10-31_133717.max-1440x900.jpg"" alt="""" /></p>
<blockquote>
<p>So here's what I want to tell all of you champions who are still banking on getting the MoU signed ✅</p>
</blockquote>
<h3><strong>Don't you dare feel like it's your fault! &amp; if you just keep doing what you are doing, it's gonna come through.</strong></h3>
<br><br><br><br>",REACH NOW ADDED,77,17,0,OUTSIDE SHARE COUNTER NOW ADDED,3,3,0,0,,,,,,,,TO BE ADDED,,TO BE ADDED
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1803,Koustubh Kulkarni,Campus Spaces,31-10-2021,17:35:49,image,ABKLZFTGZGCINEE,,"<blockquote>
<p><strong>Walk past your insecurities:</strong> A campaign where you find a busy area on campus &amp; put a chart paper on a soft board with the heading ""Walk past your insecurities"".</p>
</blockquote>
<p><img src=""https://under25app.s3.amazonaws.com/images/2021-10-31_154615.max-1440x900.jpg"" alt="""" />This activity aims at being an outlet for people to openly talk about their insecurities and walk past them &amp; never again look back. <img src=""https://under25app.s3.amazonaws.com/images/2021-10-31_154618.max-1440x900.jpg"" alt="""" /></p>
<blockquote>
<p>This activity first started at MIT WPU back in 2019 &amp; the above images are from there.</p>
</blockquote>
<p>After a long break due to Covid, we are finally (Some What back) back on campuses! <em>And Under 25 BMSCW brought back walk past your insecurities but in their fashion!</em></p>
<blockquote>
<p>Pannagasri G | Space Warrior at Under 25 BMSCW</p>
</blockquote>
<p>Launched her Space offline &amp; ended her <strong>banger launch</strong> with WPYI &amp; here's how it went down. <img src=""https://under25app.s3.amazonaws.com/images/2021-10-31_155232.max-1440x900.jpg"" alt="""" /><img src=""https://under25app.s3.amazonaws.com/images/2021-10-31_155240.max-1440x900.jpg"" alt="""" /><img src=""https://under25app.s3.amazonaws.com/images/2021-10-31_155247.max-1440x900.jpg"" alt="""" /><img src=""https://under25app.s3.amazonaws.com/images/2021-10-31_155253.max-1440x900.jpg"" alt="""" /><img src=""https://under25app.s3.amazonaws.com/images/2021-10-31_155357.max-1440x900.jpg"" alt="""" /><img src=""https://under25app.s3.amazonaws.com/images/2021-10-31_155500.max-1440x900.jpg"" alt="""" /></p>
<blockquote>
<p><strong>Big up to Under 25 BMSCW &amp; Pannagasri for pulling this off❤</strong></p>
</blockquote>
<h3>Which offline IP would you want to start once you are back on campus?</h3>
<p>Gift a smile - 😄 Chill with chai - ☕ Dabba Party - 🍞 Walk Past Your insecurities - 🧩 Or Something of your own - 🧪</p>
<blockquote>
<p><strong>Let me know in the comments!</strong></p>
</blockquote>
<br><br><br><br>",REACH NOW ADDED,114,20,0,OUTSIDE SHARE COUNTER NOW ADDED,12,20,1,0,,,,,,,,TO BE ADDED,,TO BE ADDED
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,Koustubh Kulkarni,Campus Spaces,02-11-2021,18:40:00,image,XVKIYCAYYPZXGLK,,"<h3>Make way for the Teresians!</h3><blockquote><strong>Meenakshi Iyer &amp; Nicole Fegy | Space Warriors at Under 25 STC</strong></blockquote><p>I've personally seen a lot of space boards by now &amp; the most common mistake which all of us tend to make is to not add enough detailing. Then I come across this one space board &amp; I had to share it with all of you!🍓 <img src=""https://under25app.s3.amazonaws.com/images/2021-10-31_185608.max-1440x900.png"">Btw they had a 3D animation of a Bubble Gum pack as their icon 🥺❤</p><blockquote>Okay, now I'm gonna tell you what I really liked about this space board.</blockquote><h3>Space Info🍓:</h3><p>They've mentioned all the details to the T! Be it app username, the platforms. They have covered it all. <img src=""https://under25app.s3.amazonaws.com/images/2021-10-31_185604.max-1440x900.png""></p><h3>The Code🍓:</h3><p>Code is the most tricky one. People usually get confused between code &amp; philosophy. Code is meant for the team whereas philosophy is for the entire space. The code of Under 25 Stc is so precise &amp; explained in the best way possible! Also the presentation 🥺❤ <img src=""https://under25app.s3.amazonaws.com/images/2021-11-01_013251.max-1440x900.png""></p><h3>The Format🍓:</h3><p><img src=""https://under25app.s3.amazonaws.com/images/2021-10-31_185553.max-1440x900.png"">They have not just defined &amp; explained the format but also have Added format for both formats!?! Isn't that cool! <em>P.S. what you see in the image is just one part of the format! There is so much more to it 🌏</em></p><blockquote>If you want to check out the entire thing then you can check it out here:</blockquote><p><br></p><h3><a href=""https://www.notion.so/under25stc-c03687eb24534ed5bd33c88ce70000f4"">Click here </a></h3><h3>Drop-in a Strawberry Emoji if you want to send some love to the STC fam 🍓</h3><br><br><br><br>",REACH NOW ADDED,102,18,3,OUTSIDE SHARE COUNTER NOW ADDED,11,11,0,0,,,,,,,,TO BE ADDED,,TO BE ADDED
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1807,Koustubh Kulkarni,Campus Spaces,02-11-2021,16:56:17,image,DPYJNGCKTIZWVKN,,"<h3>VERY IMPORTANT! 🆘</h3>
<p>As an officially licensed holder of an Under 25 Space, you all must know that the <strong>only &amp; only AND ONLY!</strong></p>
<blockquote>
<p>The font you all must use for all your Creatives, Story Templates, Image Cards and anything you do With regards to Under 25 should be in Oskari G2.</p>
</blockquote>
<h3>Here's how the font family looks like⚡:</h3>
<p><img src=""https://under25app.s3.amazonaws.com/images/2021-11-02_165716.max-1440x900.png"" alt="""" /></p>
<blockquote>
<p>You will all receive this font in the branding kit for your space post you sign the social media policy☀</p>
</blockquote>
<p><img src=""https://under25app.s3.amazonaws.com/images/2021-11-02_165708.max-1440x900.jpg"" alt="""" /></p>
<blockquote>
<p><strong>Now that you all have understood what Oskari looks like here's a small exercise</strong></p>
</blockquote>
<p><img src=""https://under25app.s3.amazonaws.com/images/2021-11-02_165657.max-1440x900.png"" alt="""" /></p>
<h3>Let me know in the comments which Oskari G2 is the above text written in?🤔</h3>
<br><br><br><br>",REACH NOW ADDED,62,17,0,OUTSIDE SHARE COUNTER NOW ADDED,7,6,0,0,,,,,,,,TO BE ADDED,,TO BE ADDED
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,Koustubh Kulkarni,Campus Spaces,01-11-2021,20:02:59,image,EQLNEYVATQOEZFR,,"<h3>Ivan Reni Varghese | Space Warrior at Under 25 DSU</h3>
<p>From 9 followers to be the talk of the campus Ivan has experienced all of it in the last 6 hours🧪
Ivan quotes</p>
<blockquote>
<p>""I had only 9 followers until around 3 pm today. I posted the first three posts and immediately started with the sharing part""</p>
</blockquote>
<p><img src=""https://under25app.s3.amazonaws.com/images/2021-11-01_194540.max-1440x900.png"" alt="""" /></p>
<h3>If you are from DSU I'm pretty sure your stories must be spammed by now!🔰</h3>
<p><img src=""https://under25app.s3.amazonaws.com/images/2021-11-01_200129.max-1440x900.jpg"" alt="""" /></p>
<blockquote>
<p><strong>Ivan is aiming at 500 members</strong> on his space by the end of this week! Wish him luck in comments❤</p>
</blockquote>
<br><br><br><br>",REACH NOW ADDED,86,19,0,OUTSIDE SHARE COUNTER NOW ADDED,9,13,0,0,,,,,,,,TO BE ADDED,,TO BE ADDED
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,Koustubh Kulkarni,Campus Spaces,03-11-2021,18:52:42,video,RRUFNBFMHBHFPIS,,"<h3>Be the Strongest voice on your campus!</h3>
<p>Comment if you want to see me dance in the next video :)</p>
<br><br><br><br>",REACH NOW ADDED,94,19,0,OUTSIDE SHARE COUNTER NOW ADDED,14,22,0,0,,,,,,,,TO BE ADDED,17,TO BE ADDED
,,,,,,,,,,,,,,,,,,,,,,,,,,,
